Chunk_Index,Chunk_Start_Time,RMSE_Omega,Is_Unstable,P0_Effective,Omega_Std,Omega_Mean
246,2024-08-25 15:00:00,0.09657397,0,1.96014434e-03,7.87844512e-02,5.88433265e-02
247,2024-08-25 16:00:00,0.11178887,0,3.18868723e-03,9.70579333e-02,8.64911892e-02
248,2024-08-25 17:00:00,0.11100722,0,3.78725952e-03,8.92765620e-02,8.20769376e-02
249,2024-08-25 18:00:00,0.10883274,0,1.31608997e-03,9.31903063e-02,4.24986200e-02
250,2024-08-25 19:00:00,0.08450591,0,2.49140401e-03,6.44628562e-02,6.68457308e-02
251,2024-08-25 20:00:00,0.09640721,0,1.43190282e-03,7.11274247e-02,5.43223076e-02
252,2024-08-25 21:00:00,0.08906844,0,-1.59678782e-03,1.17632761e-01,-1.72757493e-02
253,2024-08-25 22:00:00,0.06084023,0,-6.32354666e-04,6.77393525e-02,-1.27369907e-02
254,2024-08-25 23:00:00,0.10607709,0,-3.32742530e-03,6.06427441e-02,-9.02037637e-02
255,2024-08-26 00:00:00,0.13780860,0,1.43667129e-03,9.99828815e-02,6.99204065e-02
256,2024-08-26 01:00:00,0.09031543,0,1.87061026e-03,6.07317107e-02,6.16632272e-02
257,2024-08-26 02:00:00,0.18016931,0,5.62360976e-03,4.69990564e-02,1.62490351e-01
258,2024-08-26 03:00:00,0.05978992,0,-6.32001900e-04,6.59962631e-02,-1.10477019e-02
259,2024-08-26 04:00:00,0.06050850,0,-9.00734326e-04,6.52445317e-02,-1.97527515e-02
260,2024-08-26 05:00:00,0.06901261,0,5.61393108e-04,5.48250232e-02,3.01870636e-02
261,2024-08-26 06:00:00,0.09747628,0,-2.59507942e-04,9.89011129e-02,8.89613909e-03
262,2024-08-26 07:00:00,0.09393082,0,3.69645496e-03,5.42400589e-02,9.18681458e-02
263,2024-08-26 08:00:00,0.09612450,0,2.91911207e-03,3.70817299e-02,8.36292376e-02
264,2024-08-26 09:00:00,0.04544578,0,1.66314435e-03,3.64597735e-02,4.02708380e-02
265,2024-08-26 10:00:00,0.08691539,0,2.36233668e-03,4.18172257e-02,7.24975683e-02
266,2024-08-26 11:00:00,0.06300819,0,1.69954609e-03,2.38561614e-02,4.96448734e-02
267,2024-08-26 12:00:00,0.06910723,0,1.62836023e-03,4.50720517e-02,5.12080540e-02
268,2024-08-26 13:00:00,0.05284778,0,2.47003036e-04,5.19161560e-02,7.70818094e-03
