Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
15065,2024-10-08 04:55:00,0.017763,1.992938,1.409276,0.001 1 + 1.004 omega + -0.038 omega^2,0.002 1 + 0.007 omega + -0.071 omega^2,2.4090626663e-03,2.4731072308e-05,6.5440435563e-03,5.2907933692e-06,1.1721465064e-04,-7.0699388802e-02
15066,2024-10-08 05:00:00,0.022288,1.575847,1.114403,-0.009 1 + 1.064 omega + -0.118 omega^2,-0.018 1 + 0.129 omega + -0.232 omega^2,-1.8343634359e-02,1.6669758849e-04,1.2855223146e-01,-6.4600400208e-07,-4.7436667502e-04,-2.3215023066e-01
15067,2024-10-08 05:05:00,0.041100,2.605976,1.842932,0.006 1 + 0.964 omega + 0.001 theta omega + 0.043 omega^2,0.012 1 + -0.001 theta + -0.073 omega + 0.003 theta omega + 0.087 omega^2,1.2118825571e-02,-8.6191953768e-04,-7.3209252530e-02,1.0624670979e-05,3.0181073193e-03,8.7133650463e-02
15068,2024-10-08 05:10:00,0.061995,6.498136,4.595085,-0.001 1 + 1.009 omega + -0.001 theta omega + 0.082 omega^2,-0.002 1 + 0.018 omega + -0.001 theta omega + 0.158 omega^2,-1.6484581128e-03,-2.6410566968e-04,1.8351105767e-02,-1.2232044025e-06,-1.3326852578e-03,1.5838505848e-01
15069,2024-10-08 05:15:00,0.035572,2.041367,1.443684,0.001 1 + 1.000 omega + -0.010 omega^2,0.001 1 + 0.001 omega + 0.001 theta omega + -0.017 omega^2,1.1556308999e-03,-1.5100606565e-04,7.4023172677e-04,1.1659440607e-06,6.3693551846e-04,-1.7026880949e-02
15070,2024-10-08 05:20:00,0.012916,0.302684,0.214225,-0.003 1 + 0.001 theta + 1.014 omega + -0.001 theta omega + -0.020 omega^2,-0.006 1 + 0.001 theta + 0.028 omega + -0.002 theta omega + -0.036 omega^2,-6.2089966844e-03,1.0947362377e-03,2.8482156514e-02,-4.2066134358e-05,-1.5819512942e-03,-3.6123677419e-02
15071,2024-10-08 05:25:00,0.017655,0.623155,0.440814,0.001 1 + 0.997 omega + -0.001 theta omega + -0.008 omega^2,0.001 1 + -0.006 omega + -0.002 theta omega + -0.014 omega^2,1.4352954500e-03,-7.9984460187e-06,-5.6476903497e-03,2.4382184607e-05,-1.9439221691e-03,-1.3857445497e-02
15072,2024-10-08 05:30:00,0.033228,1.195939,0.845983,0.003 1 + 0.983 omega + 0.005 omega^2,0.006 1 + -0.033 omega + 0.001 theta omega + 0.011 omega^2,6.0695544154e-03,-3.1416646474e-04,-3.2822960495e-02,2.7269236090e-06,8.7028195997e-04,1.1374594120e-02
15073,2024-10-08 05:35:00,0.015983,0.271022,0.191974,-0.001 1 + 1.014 omega + -0.001 theta omega + 0.003 omega^2,-0.002 1 + 0.024 omega + -0.001 theta omega + 0.028 omega^2,-1.6189512354e-03,-4.1125903393e-05,2.4287994691e-02,5.1924854478e-06,-1.3903629868e-03,2.7503519427e-02
15074,2024-10-08 05:40:00,0.014315,1.552629,1.097921,0.007 1 + 0.891 omega + -0.002 theta omega + 0.416 omega^2,0.014 1 + -0.220 omega + -0.004 theta omega + 0.845 omega^2,1.4490515474e-02,4.8977298285e-04,-2.1972699162e-01,3.1421364833e-06,-3.6178451750e-03,8.4479439435e-01
